target_id	length	eff_length	est_counts	tpm
AT1G76820.1	3857	3658	120.882	1.44111
ATMG00060.1	542	343	22	2.7971
AT4G16360.1	1685	1486	654	19.1928
AT5G26800.1	637	438	249	24.7916
AT4G16110.1	2666	2467	179	3.1642
AT5G39100.1	808	609	0	0
AT4G15130.1	1234	1035	728	30.674
ATMG01320.1	922	723	7.52837	0.454091
AT3G57180.1	2232	2033	862	18.4905
AT2G06210.1	3579	3380	1350	17.4179
AT1G60260.1	1634	1435	6384	194.009
AT2G31100.1	1247	1048	0	0
AT1G64460.1	2240	2041	254	5.42713
AT5G18710.1	1919	1720	1	0.0253543
AT5G60900.1	2873	2674	2429	39.6138
AT4G15950.1	814	615	76	5.38913
AT3G08943.1	3165	2966	648.539	9.53553
AT3G52310.1	2443	2244	415	8.06501
AT3G18150.1	1370	1171	0	0
AT4G16150.1	3181	2982	2332	34.1036
AT3G55270.1	3130	2931	1082	16.0987
AT1G17000.1	2351	2152	0	0
AT1G60930.1	3876	3677	193	2.28899
AT4G35335.1	1280	1081	540	21.7845
AT5G11100.1	1709	1510	57	1.64618
AT1G18320.1	699	500	14.6694	1.27944
AT1G19090.1	2509	2310	0	0
AT5G16970.1	1441	1242	1261.97	44.3106
AT4G32100.1	369	170	0	0
AT2G43120.2	1338	1139	124	4.74764
AT2G43120.1	1355	1156	1.57056e-05	5.92486e-07
AT1G30814.1	1511	1312	0	0
AT1G30814.4	1466	1267	0	0
AT1G30814.2	1589	1390	0	0
AT1G30814.3	1153	954	0	0
AT3G18710.1	1965	1766	66	1.6298
AT4G25880.4	2907	2708	0.00566632	9.12498e-05
AT4G25880.2	3012	2813	39.4842	0.612116
AT4G25880.5	2890	2691	778.196	12.6112
AT4G25880.1	3211	3012	254.499	3.68478
AT4G25880.3	2949	2750	87.8146	1.39256
AT1G78930.1	2266	2067	86	1.81442
AT3G07950.1	1392	1193	560	20.4705
AT4G03450.2	2088	1889	4.96441e-07	1.14608e-08
AT4G03450.1	2249	2050	54	1.14873
AT1G71695.1	1480	1281	3780	128.683
AT1G58983.1	1223	1024	4475.67	190.607
AT1G12980.1	1248	1049	0	0
AT5G41480.1	1856	1657	316	8.31657
AT5G15008.1	165	15.3999	0	0
AT3G51870.1	1547	1348	638	20.64
AT4G29950.3	3071	2872	357.13	5.42278
AT4G29950.1	3200	3001	5229.87	75.9984
AT4G29950.2	3102	2903	0	0
AT3G18310.1	2870	2671	257	4.19603
AT5G07360.3	2378	2179	622.123	12.4509
AT5G07360.1	2480	2281	0	0
AT5G07360.2	2311	2112	51.8766	1.07117
AT4G08535.1	1518	1319	0	0
AT4G08535.3	1132	933	0	0
AT4G08535.2	1414	1215	4	0.14357
AT4G26490.1	1032	833	25	1.3088
AT5G46240.1	3021	2822	900	13.908
AT5G62260.3	1854	1655	0	0
AT5G62260.1	1839	1640	18	0.478639
AT5G62260.2	1922	1723	0	0
AT4G16955.1	902	703	0	0
AT3G25717.1	570	371	96	11.2844
AT1G45223.1	580	381	0	0
AT5G35715.1	1522	1323	0	0
AT5G41908.1	471	272	1	0.160329
AT2G21390.1	4284	4085	4659	49.7371
AT3G48330.2	788	589	55.9018	4.13895
AT3G48330.3	1038	839	28.1702	1.46422
AT3G48330.4	871	672	53.1652	3.45015
AT3G48330.1	1024	825	219.763	11.6166
AT4G32710.1	2794	2595	306	5.14238
AT3G46440.1	1646	1447	459.769	13.8564
AT3G46440.2	1735	1536	262.231	7.44512
AT2G21930.1	1401	1202	0	0
AT2G21930.2	1500	1301	0	0
AT3G53910.1	327	128.001	0	0
AT4G25090.1	3019	2820	0	0
AT4G25090.2	2775	2576	0	0
AT2G18870.1	720	521	0	0
AT1G56250.1	1276	1077	0	0
AT3G16830.1	3909	3710	930	10.9317
AT5G20470.1	1814	1615	0	0
AT5G04950.1	1399	1200	2	0.0726823
AT4G13720.1	924	725	424.76	25.5497
AT4G13720.2	1053	854	13.2403	0.676114
AT5G50110.1	1087	888	229.01	11.2466
AT5G50110.2	1146	947	3.9896	0.183721
AT3G03305.1	2493	2294	439	8.34547
AT5G66670.2	1632	1433	0	0
AT5G66670.4	1660	1461	0	0
AT5G66670.3	1973	1774	0	0
AT5G66670.1	1890	1691	0	0
AT4G08039.1	210	28.6775	0	0
AT2G38310.1	1439	1240	255	8.96806
AT2G26900.1	1906	1707	6133	156.682
AT5G23000.1	1399	1200	0	0
AT1G66852.1	333	134.001	0	0
AT1G69810.2	1940	1741	0	0
AT1G69810.1	1593	1394	12	0.375404
AT1G72450.2	1786	1587	3323.35	91.3226
AT1G72450.1	1604	1405	18911.7	586.993
AT5G03560.3	1847	1648	11.0834	0.293288
AT5G03560.4	1434	1235	15.7033	0.554502
AT5G03560.1	1135	936	98.4042	4.58477
AT5G03560.2	2202	2003	32.8091	0.714321
AT4G27340.3	2046	1847	2.74019	0.0646983
AT4G27340.2	1880	1681	135.691	3.52017
AT4G27340.1	2220	2021	527.569	11.3839
AT1G76280.4	3218	3019	13.7491	0.198605
AT1G76280.2	3066	2867	8.84163	0.134488
AT1G76280.5	2985	2786	343.883	5.38281
AT1G76280.3	2472	2273	7.50501e-08	1.4399e-09
AT1G76280.1	2889	2690	0.52636	0.00853316
AT3G03272.1	781	582	0	0
AT3G28960.1	1318	1119	31.2224	1.21679
AT3G28960.4	1270	1071	5.85933e-07	2.38583e-08
AT3G28960.3	1501	1302	7.11475	0.238303
AT3G28960.2	1891	1692	6.31957	0.16288
AT3G28960.5	1730	1531	14.3433	0.408559
AT1G65630.1	1761	1562	0	0
AT3G10210.1	1187	988	340.362	15.0232
AT4G27830.2	1601	1402	280.742	8.73253
AT4G27830.1	1842	1643	129.531	3.43808
AT1G71390.2	2575	2376	0	0
AT1G71390.1	2453	2254	2	0.0386951
AT5G46260.1	4166	3967	267.077	2.93598
AT2G32710.2	1482	1283	142.507	4.84383
AT2G32710.1	2391	2192	40.8619	0.81294
AT5G27680.2	3588	3389	27.4719	0.353507
AT5G27680.3	3487	3288	0	0
AT5G27680.5	3205	3006	2.76617	0.04013
AT5G27680.4	3382	3183	0	0
AT5G27680.1	3492	3293	23.3412	0.309109
AT5G27680.6	3178	2979	35.4207	0.518521
AT4G19380.1	2367	2168	13	0.261495
AT4G19380.2	2513	2314	0	0
AT5G61960.2	3723	3524	0	0
