target_id	length	eff_length	est_counts	tpm
AT1G76820.1	3857	3658	171.964	1.88873
ATMG00060.1	542	343	3	0.351402
AT4G16360.1	1685	1486	677	18.304
AT5G26800.1	637	438	337	30.9124
AT4G16110.1	2666	2467	236	3.84344
AT5G39100.1	808	609	0	0
AT4G15130.1	1234	1035	898	34.8588
ATMG01320.1	922	723	2.50946	0.13945
AT3G57180.1	2232	2033	1057	20.8888
AT2G06210.1	3579	3380	1343	15.9638
AT1G60260.1	1634	1435	6425	179.886
AT2G31100.1	1247	1048	0	0
AT1G64460.1	2240	2041	352	6.92909
AT5G18710.1	1919	1720	10	0.233587
AT5G60900.1	2873	2674	2946	44.2637
AT4G15950.1	814	615	93	6.07554
AT3G08943.1	3165	2966	875.622	11.861
AT3G52310.1	2443	2244	483	8.64771
AT3G18150.1	1370	1171	0	0
AT4G16150.1	3181	2982	2341	31.5406
AT3G55270.1	3130	2931	1208	16.5588
AT1G17000.1	2351	2152	0	0
AT1G60930.1	3876	3677	194	2.11975
AT4G35335.1	1280	1081	633	23.5264
AT5G11100.1	1709	1510	59	1.56983
AT1G18320.1	699	500	44.0712	3.54129
AT1G19090.1	2509	2310	0	0
AT5G16970.1	1441	1242	1437.65	46.506
AT4G32100.1	369	170	0	0
AT2G43120.2	1338	1139	141.668	4.99716
AT2G43120.1	1355	1156	92.3325	3.20903
AT1G30814.1	1511	1312	0	0
AT1G30814.4	1466	1267	0	0
AT1G30814.2	1589	1390	0	0
AT1G30814.3	1153	954	0	0
AT3G18710.1	1965	1766	82	1.86552
AT4G25880.4	2907	2708	36.3291	0.538993
AT4G25880.2	3012	2813	3.01217	0.0430215
AT4G25880.5	2890	2691	1012.4	15.1152
AT4G25880.1	3211	3012	334.738	4.46506
AT4G25880.3	2949	2750	15.5217	0.226768
AT1G78930.1	2266	2067	162	3.14885
AT3G07950.1	1392	1193	615	20.7115
AT4G03450.2	2088	1889	0	0
AT4G03450.1	2249	2050	67	1.3131
AT1G71695.1	1480	1281	4905	153.839
AT1G58983.1	1223	1024	6161.04	241.73
AT1G12980.1	1248	1049	6	0.229801
AT5G41480.1	1856	1657	371	8.99556
AT5G15008.1	165	15.3999	0	0
AT3G51870.1	1547	1348	800	23.8439
AT4G29950.3	3071	2872	558.42	7.81184
AT4G29950.1	3200	3001	6285.58	84.1504
AT4G29950.2	3102	2903	0	0
AT3G18310.1	2870	2671	277	4.16661
AT5G07360.3	2378	2179	702.581	12.9544
AT5G07360.1	2480	2281	0	0
AT5G07360.2	2311	2112	36.4189	0.692802
AT4G08535.1	1518	1319	0	0
AT4G08535.3	1132	933	0	0
AT4G08535.2	1414	1215	4	0.13227
AT4G26490.1	1032	833	26	1.25402
AT5G46240.1	3021	2822	977	13.9096
AT5G62260.3	1854	1655	0	0
AT5G62260.1	1839	1640	23	0.563457
AT5G62260.2	1922	1723	0	0
AT4G16955.1	902	703	14.2186	0.812603
AT3G25717.1	570	371	114	12.3455
AT1G45223.1	580	381	0	0
AT5G35715.1	1522	1323	0	0
AT5G41908.1	471	272	0	0
AT2G21390.1	4284	4085	4895	48.1435
