target_id	length	eff_length	est_counts	tpm
AT1G76820.1	3857	3658	158.503	1.86022
ATMG00060.1	542	343	16	2.00262
AT4G16360.1	1685	1486	654	18.8943
AT5G26800.1	637	438	244	23.916
AT4G16110.1	2666	2467	180	3.13239
AT5G39100.1	808	609	0	0
AT4G15130.1	1234	1035	883	36.6263
ATMG01320.1	922	723	13.9729	0.829697
AT3G57180.1	2232	2033	946	19.9768
AT2G06210.1	3579	3380	1422	18.0616
AT1G60260.1	1634	1435	6402	191.53
AT2G31100.1	1247	1048	0	0
AT1G64460.1	2240	2041	282	5.93169
AT5G18710.1	1919	1720	1	0.0249599
AT5G60900.1	2873	2674	2097	33.6674
AT4G15950.1	814	615	70	4.88647
AT3G08943.1	3165	2966	684.845	9.91273
AT3G52310.1	2443	2244	392	7.49955
AT3G18150.1	1370	1171	0	0
AT4G16150.1	3181	2982	2433	35.0273
AT3G55270.1	3130	2931	1157	16.9469
AT1G17000.1	2351	2152	0	0
AT1G60930.1	3876	3677	127	1.4828
AT4G35335.1	1280	1081	515	20.4528
AT5G11100.1	1709	1510	55	1.56372
AT1G18320.1	699	500	33.1513	2.84644
AT1G19090.1	2509	2310	0	0
AT5G16970.1	1441	1242	1321.91	45.6933
AT4G32100.1	369	170	0	0
AT2G43120.2	1338	1139	165	6.21917
AT2G43120.1	1355	1156	1.00259e-06	3.7234e-08
AT1G30814.1	1511	1312	0	0
AT1G30814.4	1466	1267	0	0
AT1G30814.2	1589	1390	0	0
AT1G30814.3	1153	954	0	0
AT3G18710.1	1965	1766	56	1.36135
AT4G25880.4	2907	2708	58.8739	0.933353
AT4G25880.2	3012	2813	2.9369	0.044822
AT4G25880.5	2890	2691	840.701	13.4122
AT4G25880.1	3211	3012	325.488	4.6393
AT4G25880.3	2949	2750	0	0
AT1G78930.1	2266	2067	104	2.16006
AT3G07950.1	1392	1193	539	19.3964
AT4G03450.2	2088	1889	0	0
AT4G03450.1	2249	2050	42	0.879564
AT1G71695.1	1480	1281	3963	132.815
AT1G58983.1	1223	1024	4725.07	198.098
