target_id	length	eff_length	est_counts	tpm
AT1G76820.1	3857	3658	241.034	2.78144
ATMG00060.1	542	343	5	0.615333
AT4G16360.1	1685	1486	829	23.5489
AT5G26800.1	637	438	335	32.2853
AT4G16110.1	2666	2467	239	4.08943
AT5G39100.1	808	609	0	0
AT4G15130.1	1234	1035	480	19.5765
ATMG01320.1	922	723	0	0
AT3G57180.1	2232	2033	1308	27.1584
AT2G06210.1	3579	3380	1587	19.8196
AT1G60260.1	1634	1435	1091	32.0928
AT2G31100.1	1247	1048	0	0
AT1G64460.1	2240	2041	298	6.16322
AT5G18710.1	1919	1720	11	0.26996
AT5G60900.1	2873	2674	648	10.2294
AT4G15950.1	814	615	133	9.12874
AT3G08943.1	3165	2966	871.695	12.4059
AT3G52310.1	2443	2244	368	6.92244
AT3G18150.1	1370	1171	0	0
AT4G16150.1	3181	2982	1638	23.1868
AT3G55270.1	3130	2931	1134	16.3317
AT1G17000.1	2351	2152	0	0
AT1G60930.1	3876	3677	151	1.73348
AT4G35335.1	1280	1081	608	23.7417
AT5G11100.1	1709	1510	76	2.12457
AT1G18320.1	699	500	31.4426	2.6545
AT1G19090.1	2509	2310	0	0
AT5G16970.1	1441	1242	1616.99	54.9567
AT4G32100.1	369	170	0	0
AT2G43120.2	1338	1139	294	10.8958
AT2G43120.1	1355	1156	1.5769e-05	5.75811e-07
AT1G30814.1	1511	1312	0	0
AT1G30814.4	1466	1267	0	0
AT1G30814.2	1589	1390	0	0
AT1G30814.3	1153	954	0	0
AT3G18710.1	1965	1766	318	7.601
AT4G25880.4	2907	2708	109.038	1.69967
AT4G25880.2	3012	2813	2.59073e-05	3.88764e-07
AT4G25880.5	2890	2691	1028.02	16.1258
AT4G25880.1	3211	3012	290.694	4.07395
AT4G25880.3	2949	2750	0.251772	0.00386464
AT1G78930.1	2266	2067	221	4.51322
AT3G07950.1	1392	1193	540	19.1068
AT4G03450.2	2088	1889	0	0
AT4G03450.1	2249	2050	23	0.473596
AT1G71695.1	1480	1281	4730	155.864
AT1G58983.1	1223	1024	7105.52	292.908
AT1G12980.1	1248	1049	0	0
AT5G41480.1	1856	1657	415	10.5721
AT5G15008.1	165	15.3999	0	0
AT3G51870.1	1547	1348	1655	51.8254
AT4G29950.3	3071	2872	68.5688	1.00781
AT4G29950.1	3200	3001	733.431	10.3164
AT4G29950.2	3102	2903	0.000603131	8.76999e-06
AT3G18310.1	2870	2671	239	3.7771
AT5G07360.3	2378	2179	431.453	8.35815
AT5G07360.1	2480	2281	22.3627	0.413842
AT5G07360.2	2311	2112	29.1847	0.583306
AT4G08535.1	1518	1319	0	0
AT4G08535.3	1132	933	0	0
AT4G08535.2	1414	1215	8	0.277938
AT4G26490.1	1032	833	43	2.179
AT5G46240.1	3021	2822	1203	17.9946
AT5G62260.3	1854	1655	30	0.76517
AT5G62260.1	1839	1640	0	0
AT5G62260.2	1922	1723	0	0
AT4G16955.1	902	703	0	0
AT3G25717.1	570	371	408	46.4217
AT1G45223.1	580	381	0	0
AT5G35715.1	1522	1323	0	0
AT5G41908.1	471	272	6	0.931144
AT2G21390.1	4284	4085	4214	43.5449
AT3G48330.2	788	589	91.7055	6.57226
