target_id	length	eff_length	est_counts	tpm
AT1G76820.1	3857	3658	222.821	2.82941
ATMG00060.1	542	343	6	0.812533
AT4G16360.1	1685	1486	770	24.0689
AT5G26800.1	637	438	245	25.9822
AT4G16110.1	2666	2467	221	4.16109
AT5G39100.1	808	609	0	0
AT4G15130.1	1234	1035	531	23.8308
ATMG01320.1	922	723	4	0.256984
AT3G57180.1	2232	2033	1017	23.2363
AT2G06210.1	3579	3380	1377	18.9235
AT1G60260.1	1634	1435	1338	43.31
AT2G31100.1	1247	1048	0	0
AT1G64460.1	2240	2041	284	6.46337
AT5G18710.1	1919	1720	13	0.351074
AT5G60900.1	2873	2674	1220	21.1925
AT4G15950.1	814	615	94	7.09965
AT3G08943.1	3165	2966	742.197	11.6234
AT3G52310.1	2443	2244	340	7.03785
AT3G18150.1	1370	1171	0	0
AT4G16150.1	3181	2982	1668	25.982
AT3G55270.1	3130	2931	1022	16.1964
AT1G17000.1	2351	2152	0	0
AT1G60930.1	3876	3677	160	2.0212
AT4G35335.1	1280	1081	547	23.5042
AT5G11100.1	1709	1510	66	2.03026
AT1G18320.1	699	500	28.2027	2.62002
AT1G19090.1	2509	2310	0	0
AT5G16970.1	1441	1242	1424.98	53.293
AT4G32100.1	369	170	0	0
AT2G43120.2	1338	1139	294	11.9897
AT2G43120.1	1355	1156	3.9511e-05	1.58761e-06
AT1G30814.1	1511	1312	0	0
AT1G30814.4	1466	1267	0	0
AT1G30814.2	1589	1390	0	0
AT1G30814.3	1153	954	0	0
AT3G18710.1	1965	1766	328	8.62715
AT4G25880.4	2907	2708	19.396	0.332695
AT4G25880.2	3012	2813	0.209248	0.00345522
AT4G25880.5	2890	2691	1041.54	17.9782
AT4G25880.1	3211	3012	148.722	2.29353
AT4G25880.3	2949	2750	48.1355	0.813049
AT1G78930.1	2266	2067	172	3.8652
AT3G07950.1	1392	1193	425	16.5475
AT4G03450.2	2088	1889	0	0
AT4G03450.1	2249	2050	68	1.54077
AT1G71695.1	1480	1281	4273	154.941
AT1G58983.1	1223	1024	4687.33	212.623
AT1G12980.1	1248	1049	0	0
AT5G41480.1	1856	1657	345	9.6712
AT5G15008.1	165	15.3999	0	0
AT3G51870.1	1547	1348	1284	44.2445
AT4G29950.3	3071	2872	144.236	2.33277
AT4G29950.1	3200	3001	682.764	10.5679
AT4G29950.2	3102	2903	3.38781e-05	5.42071e-07
AT3G18310.1	2870	2671	244	4.24326
AT5G07360.3	2378	2179	458.271	9.76897
AT5G07360.1	2480	2281	0	0
AT5G07360.2	2311	2112	30.7294	0.675841
AT4G08535.1	1518	1319	0	0
AT4G08535.3	1132	933	0	0
AT4G08535.2	1414	1215	12	0.458764
AT4G26490.1	1032	833	44	2.45353
AT5G46240.1	3021	2822	1141	18.7807
AT5G62260.3	1854	1655	0	0
AT5G62260.1	1839	1640	29	0.821369
AT5G62260.2	1922	1723	0	0
AT4G16955.1	902	703	11.1411	0.736136
AT3G25717.1	570	371	513	64.2284
AT1G45223.1	580	381	0	0
AT5G35715.1	1522	1323	0	0
AT5G41908.1	471	272	1	0.170771
AT2G21390.1	4284	4085	3793	43.1295
AT3G48330.2	788	589	156.298	12.326
AT3G48330.3	1038	839	18.4374	1.02076
AT3G48330.4	871	672	9.78854	0.676601
AT3G48330.1	1024	825	142.476	8.02182
AT4G32710.1	2794	2595	475	8.50237
AT3G46440.1	1646	1447	375.063	12.0398
AT3G46440.2	1735	1536	174.937	5.29023
AT2G21930.1	1401	1202	0	0
AT2G21930.2	1500	1301	0	0
AT3G53910.1	327	128.001	0	0
AT4G25090.1	3019	2820	2	0.0329431
AT4G25090.2	2775	2576	0	0
AT2G18870.1	720	521	0	0
AT1G56250.1	1276	1077	0	0
AT3G16830.1	3909	3710	1038	12.9959
AT5G20470.1	1814	1615	0	0
AT5G04950.1	1399	1200	36	1.39349
AT4G13720.1	924	725	446.14	28.5836
AT4G13720.2	1053	854	19.8605	1.08023
AT5G50110.1	1087	888	228.62	11.9587
AT5G50110.2	1146	947	8.37981	0.411025
AT3G03305.1	2493	2294	506.109	10.2479
AT5G66670.2	1632	1433	0	0
AT5G66670.4	1660	1461	0	0
AT5G66670.3	1973	1774	0	0
AT5G66670.1	1890	1691	0	0
AT4G08039.1	210	28.6775	0	0
AT2G38310.1	1439	1240	287	10.7509
AT2G26900.1	1906	1707	6684	181.881
AT5G23000.1	1399	1200	0	0
AT1G66852.1	333	134.001	0	0
AT1G69810.2	1940	1741	0	0
AT1G69810.1	1593	1394	4	0.133285
AT1G72450.2	1786	1587	60.3623	1.76674
AT1G72450.1	1604	1405	800.638	26.4694
