target_id	length	eff_length	est_counts	tpm
AT1G76820.1	3857	3658	192.653	2.20838
ATMG00060.1	542	343	9	1.10025
AT4G16360.1	1685	1486	933	26.3273
AT5G26800.1	637	438	318	30.4436
AT4G16110.1	2666	2467	241	4.09629
AT5G39100.1	808	609	0	0
AT4G15130.1	1234	1035	524	21.2292
ATMG01320.1	922	723	17	0.985947
AT3G57180.1	2232	2033	1038	21.4093
AT2G06210.1	3579	3380	1337	16.5866
AT1G60260.1	1634	1435	1206	35.2402
AT2G31100.1	1247	1048	0	0
AT1G64460.1	2240	2041	337	6.92356
AT5G18710.1	1919	1720	4	0.0975156
AT5G60900.1	2873	2674	1435	22.5026
AT4G15950.1	814	615	111	7.56817
AT3G08943.1	3165	2966	868.29	12.2754
AT3G52310.1	2443	2244	332	6.2038
AT3G18150.1	1370	1171	0	0
AT4G16150.1	3181	2982	1532	21.5424
AT3G55270.1	3130	2931	898	12.847
AT1G17000.1	2351	2152	0	0
AT1G60930.1	3876	3677	158	1.8018
AT4G35335.1	1280	1081	681	26.4158
AT5G11100.1	1709	1510	38	1.05524
AT1G18320.1	699	500	41.5518	3.48468
AT1G19090.1	2509	2310	0	0
AT5G16970.1	1441	1242	1500.71	50.6662
AT4G32100.1	369	170	0	0
AT2G43120.2	1338	1139	290	10.6762
AT2G43120.1	1355	1156	2.36985e-06	8.5962e-08
AT1G30814.1	1511	1312	0	0
AT1G30814.4	1466	1267	0	0
AT1G30814.2	1589	1390	0	0
AT1G30814.3	1153	954	0	0
AT3G18710.1	1965	1766	374	8.88022
AT4G25880.4	2907	2708	128.58	1.99098
AT4G25880.2	3012	2813	0	0
AT4G25880.5	2890	2691	979.607	15.2644
AT4G25880.1	3211	3012	215.813	3.00445
AT4G25880.3	2949	2750	0	0
AT1G78930.1	2266	2067	156	3.16466
AT3G07950.1	1392	1193	560	19.683
AT4G03450.2	2088	1889	8.74587	0.194139
AT4G03450.1	2249	2050	65.2541	1.33474
AT1G71695.1	1480	1281	4444	145.468
AT1G58983.1	1223	1024	6919.62	283.351
AT1G12980.1	1248	1049	0	0
AT5G41480.1	1856	1657	417	10.5525
AT5G15008.1	165	15.3999	0	0
AT3G51870.1	1547	1348	1622	50.4549
AT4G29950.3	3071	2872	49.6268	0.724561
AT4G29950.1	3200	3001	907.373	12.6783
AT4G29950.2	3102	2903	0	0
AT3G18310.1	2870	2671	272	4.2701
AT5G07360.3	2378	2179	582.148	11.2026
AT5G07360.1	2480	2281	0	0
AT5G07360.2	2311	2112	48.8524	0.969918
AT4G08535.1	1518	1319	7	0.222534
AT4G08535.3	1132	933	0	0
AT4G08535.2	1414	1215	0	0
AT4G26490.1	1032	833	35	1.76184
AT5G46240.1	3021	2822	928	13.789
AT5G62260.3	1854	1655	21	0.532064
AT5G62260.1	1839	1640	0	0
AT5G62260.2	1922	1723	0	0
AT4G16955.1	902	703	11.601	0.691964
AT3G25717.1	570	371	372	42.0448
AT1G45223.1	580	381	0	0
AT5G35715.1	1522	1323	0	0
AT5G41908.1	471	272	0	0
AT2G21390.1	4284	4085	4234	43.4612
AT3G48330.2	788	589	102.105	7.26898
AT3G48330.3	1038	839	41.5953	2.07886
AT3G48330.4	871	672	12.0136	0.749629
