target_id	length	eff_length	est_counts	tpm
AT1G76820.1	3857	3658	137.701	1.72023
ATMG00060.1	542	343	12	1.59874
AT4G16360.1	1685	1486	832	25.5856
AT5G26800.1	637	438	247	25.77
AT4G16110.1	2666	2467	171	3.16751
AT5G39100.1	808	609	0	0
AT4G15130.1	1234	1035	571	25.2108
ATMG01320.1	922	723	7.69012	0.486056
AT3G57180.1	2232	2033	1040	23.3769
AT2G06210.1	3579	3380	1322	17.8734
AT1G60260.1	1634	1435	1048	33.3734
AT2G31100.1	1247	1048	1	0.0436044
AT1G64460.1	2240	2041	283	6.33629
AT5G18710.1	1919	1720	11	0.292251
AT5G60900.1	2873	2674	1144	19.5504
AT4G15950.1	814	615	84	6.2416
AT3G08943.1	3165	2966	826.828	12.739
AT3G52310.1	2443	2244	266	5.41689
AT3G18150.1	1370	1171	0	0
AT4G16150.1	3181	2982	1628	24.9482
AT3G55270.1	3130	2931	1091	17.0099
AT1G17000.1	2351	2152	0	0
AT1G60930.1	3876	3677	162	2.01332
AT4G35335.1	1280	1081	567	23.9689
AT5G11100.1	1709	1510	42	1.27105
AT1G18320.1	699	500	19.6345	1.79449
AT1G19090.1	2509	2310	0	0
AT5G16970.1	1441	1242	1275	46.9114
AT4G32100.1	369	170	0	0
AT2G43120.2	1338	1139	219	8.78642
AT2G43120.1	1355	1156	2.04491e-06	8.08367e-08
AT1G30814.1	1511	1312	0	0
AT1G30814.4	1466	1267	0	0
AT1G30814.2	1589	1390	0	0
AT1G30814.3	1153	954	0	0
AT3G18710.1	1965	1766	344	8.90142
AT4G25880.4	2907	2708	0.000174006	2.93634e-06
AT4G25880.2	3012	2813	9.68545	0.157341
AT4G25880.5	2890	2691	1001.82	17.0125
AT4G25880.1	3211	3012	197.239	2.99246
AT4G25880.3	2949	2750	133.256	2.21434
AT1G78930.1	2266	2067	168	3.71416
AT3G07950.1	1392	1193	521	19.9567
AT4G03450.2	2088	1889	0	0
AT4G03450.1	2249	2050	58	1.2929
AT1G71695.1	1480	1281	4640	165.524
AT1G58983.1	1223	1024	5749.02	256.558
AT1G12980.1	1248	1049	0	0
AT5G41480.1	1856	1657	354	9.76275
AT5G15008.1	165	15.3999	0	0
AT3G51870.1	1547	1348	1351	45.7991
AT4G29950.3	3071	2872	1.00195e-06	1.59424e-08
AT4G29950.1	3200	3001	715.603	10.8968
AT4G29950.2	3102	2903	13.3969	0.210887
AT3G18310.1	2870	2671	229	3.9179
AT5G07360.3	2378	2179	502.313	10.5344
AT5G07360.1	2480	2281	0	0
AT5G07360.2	2311	2112	10.6875	0.231246
AT4G08535.1	1518	1319	0	0
AT4G08535.3	1132	933	0	0
AT4G08535.2	1414	1215	3	0.112833
AT4G26490.1	1032	833	32	1.75548
AT5G46240.1	3021	2822	1105	17.8936
AT5G62260.3	1854	1655	0	0
AT5G62260.1	1839	1640	25	0.696607
AT5G62260.2	1922	1723	0	0
AT4G16955.1	902	703	0	0
AT3G25717.1	570	371	462	56.9062
AT1G45223.1	580	381	0	0
AT5G35715.1	1522	1323	0	0
AT5G41908.1	471	272	0	0
AT2G21390.1	4284	4085	4015	44.9143
AT3G48330.2	788	589	146.956	11.4016
AT3G48330.3	1038	839	13.0911	0.713027
AT3G48330.4	871	672	0	0
AT3G48330.1	1024	825	143.953	7.97365
AT4G32710.1	2794	2595	497	8.75207
AT3G46440.1	1646	1447	453.121	14.3099
AT3G46440.2	1735	1536	140.879	4.19129
AT2G21930.1	1401	1202	0	0
AT2G21930.2	1500	1301	0	0
AT3G53910.1	327	128.001	0	0
AT4G25090.1	3019	2820	0	0
AT4G25090.2	2775	2576	0	0
AT2G18870.1	720	521	0	0
AT1G56250.1	1276	1077	1	0.0424303
AT3G16830.1	3909	3710	1107	13.6353
AT5G20470.1	1814	1615	0	0
AT5G04950.1	1399	1200	41	1.56133
AT4G13720.1	924	725	405.14	25.5363
AT4G13720.2	1053	854	19.8605	1.06273
AT5G50110.1	1087	888	221	11.3729
AT5G50110.2	1146	947	0	0
AT3G03305.1	2493	2294	506	10.0797
AT5G66670.2	1632	1433	0	0
AT5G66670.4	1660	1461	0	0
