target_id	length	eff_length	est_counts	tpm
AT1G76820.1	3857	3658	158.818	1.77425
ATMG00060.1	542	343	23	2.74027
AT4G16360.1	1685	1486	703	19.3328
AT5G26800.1	637	438	385	35.9208
AT4G16110.1	2666	2467	180	2.98169
AT5G39100.1	808	609	0	0
AT4G15130.1	1234	1035	689	27.2043
ATMG01320.1	922	723	21	1.18697
AT3G57180.1	2232	2033	976	19.6188
AT2G06210.1	3579	3380	1416	17.1201
AT1G60260.1	1634	1435	6165	175.566
AT2G31100.1	1247	1048	0	0
AT1G64460.1	2240	2041	271	5.42607
AT5G18710.1	1919	1720	17	0.403905
AT5G60900.1	2873	2674	2291	35.0125
AT4G15950.1	814	615	121	8.04024
AT3G08943.1	3165	2966	793.066	10.9269
AT3G52310.1	2443	2244	388	7.06591
AT3G18150.1	1370	1171	0	0
AT4G16150.1	3181	2982	2198	30.1217
AT3G55270.1	3130	2931	1169	16.2989
AT1G17000.1	2351	2152	0	0
AT1G60930.1	3876	3677	171	1.90047
AT4G35335.1	1280	1081	639	24.1565
AT5G11100.1	1709	1510	48	1.29904
AT1G18320.1	699	500	29.4761	2.40912
AT1G19090.1	2509	2310	0	0
AT5G16970.1	1441	1242	1475.72	48.5559
AT4G32100.1	369	170	0	0
AT2G43120.2	1338	1139	181	6.49402
AT2G43120.1	1355	1156	8.8066e-07	3.11322e-08
AT1G30814.1	1511	1312	0	0
AT1G30814.4	1466	1267	0	0
AT1G30814.2	1589	1390	0	0
AT1G30814.3	1153	954	0	0
AT3G18710.1	1965	1766	109	2.52229
AT4G25880.4	2907	2708	115.11	1.7371
AT4G25880.2	3012	2813	8.43288e-07	1.22508e-08
AT4G25880.5	2890	2691	877.179	13.3209
AT4G25880.1	3211	3012	384.71	5.21961
AT4G25880.3	2949	2750	0	0
AT1G78930.1	2266	2067	149	2.94581
AT3G07950.1	1392	1193	552	18.9085
AT4G03450.2	2088	1889	0	0
AT4G03450.1	2249	2050	76	1.51502
AT1G71695.1	1480	1281	4323	137.91
AT1G58983.1	1223	1024	5339.95	213.106
AT1G12980.1	1248	1049	5	0.194784
AT5G41480.1	1856	1657	387	9.54437
AT5G15008.1	165	15.3999	0	0
AT3G51870.1	1547	1348	835	25.3137
AT4G29950.3	3071	2872	295.093	4.19889
AT4G29950.1	3200	3001	4712.91	64.1774
AT4G29950.2	3102	2903	0	0
AT3G18310.1	2870	2671	285	4.36044
AT5G07360.3	2378	2179	807.443	15.1431
AT5G07360.1	2480	2281	0	0
AT5G07360.2	2311	2112	18.5574	0.359072
AT4G08535.1	1518	1319	6	0.185894
AT4G08535.3	1132	933	0	0
AT4G08535.2	1414	1215	0	0
AT4G26490.1	1032	833	26	1.27552
AT5G46240.1	3021	2822	1268	18.3621
AT5G62260.3	1854	1655	0.00027246	6.72766e-06
