target_id	length	eff_length	est_counts	tpm
AT1G76820.1	3857	3658	185.234	1.85162
ATMG00060.1	542	343	4	0.426422
AT4G16360.1	1685	1486	716	17.6185
AT5G26800.1	637	438	403	33.6438
AT4G16110.1	2666	2467	251	3.7203
AT5G39100.1	808	609	0	0
AT4G15130.1	1234	1035	926	32.7148
ATMG01320.1	922	723	3	0.151725
AT3G57180.1	2232	2033	1050	18.8854
AT2G06210.1	3579	3380	1617	17.4931
AT1G60260.1	1634	1435	7021	178.904
AT2G31100.1	1247	1048	0	0
AT1G64460.1	2240	2041	385	6.89749
AT5G18710.1	1919	1720	10	0.212591
AT5G60900.1	2873	2674	2747	37.5639
AT4G15950.1	814	615	78	4.6376
AT3G08943.1	3165	2966	1011.25	12.467
AT3G52310.1	2443	2244	504	8.21261
AT3G18150.1	1370	1171	0	0
AT4G16150.1	3181	2982	2686	32.9361
AT3G55270.1	3130	2931	1437	17.9273
AT1G17000.1	2351	2152	0	0
AT1G60930.1	3876	3677	214	2.12811
AT4G35335.1	1280	1081	761	25.7414
AT5G11100.1	1709	1510	73	1.76774
AT1G18320.1	699	500	32.1261	2.34942
AT1G19090.1	2509	2310	0	0
AT5G16970.1	1441	1242	1773.64	52.2175
AT4G32100.1	369	170	0	0
AT2G43120.2	1338	1139	303	9.7273
AT2G43120.1	1355	1156	5.76117e-06	1.82233e-07
AT1G30814.1	1511	1312	0	0
AT1G30814.4	1466	1267	0	0
AT1G30814.2	1589	1390	0	0
AT1G30814.3	1153	954	0	0
AT3G18710.1	1965	1766	75	1.5529
AT4G25880.4	2907	2708	84.9652	1.14727
AT4G25880.2	3012	2813	9.99259e-09	1.29892e-10
AT4G25880.5	2890	2691	1239.86	16.8474
AT4G25880.1	3211	3012	347.178	4.21474
AT4G25880.3	2949	2750	5.87591e-08	7.81297e-10
AT1G78930.1	2266	2067	181	3.20193
AT3G07950.1	1392	1193	692	21.2099
AT4G03450.2	2088	1889	0	0
AT4G03450.1	2249	2050	89	1.58749
