target_id	length	eff_length	est_counts	tpm
AT1G76820.1	3857	3658	167.184	2.13809
ATMG00060.1	542	343	8	1.09111
AT4G16360.1	1685	1486	716	22.5407
AT5G26800.1	637	438	262	27.9834
AT4G16110.1	2666	2467	165	3.12888
AT5G39100.1	808	609	0	0
AT4G15130.1	1234	1035	541	24.4529
ATMG01320.1	922	723	7.51467	0.486234
AT3G57180.1	2232	2033	1071	24.6448
AT2G06210.1	3579	3380	1331	18.4219
AT1G60260.1	1634	1435	1002	32.6655
AT2G31100.1	1247	1048	0	0
AT1G64460.1	2240	2041	307	7.0367
AT5G18710.1	1919	1720	14	0.380779
AT5G60900.1	2873	2674	1059	18.5271
AT4G15950.1	814	615	83	6.31359
AT3G08943.1	3165	2966	735.114	11.5946
AT3G52310.1	2443	2244	345	7.19233
AT3G18150.1	1370	1171	0	0
AT4G16150.1	3181	2982	1578	24.7556
AT3G55270.1	3130	2931	996	15.8971
AT1G17000.1	2351	2152	0	0
AT1G60930.1	3876	3677	150	1.90841
AT4G35335.1	1280	1081	476	20.5994
AT5G11100.1	1709	1510	48	1.48709
AT1G18320.1	699	500	25.7758	2.41166
AT1G19090.1	2509	2310	0	0
AT5G16970.1	1441	1242	1383.73	52.1198
AT4G32100.1	369	170	0	0
AT2G43120.2	1338	1139	249	10.227
AT2G43120.1	1355	1156	7.27539e-06	2.94423e-07
AT1G30814.1	1511	1312	0	0
AT1G30814.4	1466	1267	0	0
AT1G30814.2	1589	1390	0	0
AT1G30814.3	1153	954	0	0
AT3G18710.1	1965	1766	324	8.58278
AT4G25880.4	2907	2708	158.077	2.73083
AT4G25880.2	3012	2813	0.0882373	0.00146742
AT4G25880.5	2890	2691	785.506	13.6555
AT4G25880.1	3211	3012	328.329	5.0995
AT4G25880.3	2949	2750	0.000137615	2.34103e-06
AT1G78930.1	2266	2067	150	3.39488
AT3G07950.1	1392	1193	486	19.0577
AT4G03450.2	2088	1889	24.6292	0.609946
AT4G03450.1	2249	2050	60.3708	1.37767
AT1G71695.1	1480	1281	4750	173.467
AT1G58983.1	1223	1024	4514.38	206.24
AT1G12980.1	1248	1049	0	0
AT5G41480.1	1856	1657	325	9.1756
AT5G15008.1	165	15.3999	0	0
AT3G51870.1	1547	1348	1228	42.6169
AT4G29950.3	3071	2872	135.086	2.20039
AT4G29950.1	3200	3001	616.868	9.61612
AT4G29950.2	3102	2903	0.0461361	0.000743476
AT3G18310.1	2870	2671	234	4.09841
AT5G07360.3	2378	2179	465.547	9.99492
AT5G07360.1	2480	2281	0	0
AT5G07360.2	2311	2112	61.4534	1.36121
AT4G08535.1	1518	1319	5	0.177337
AT4G08535.3	1132	933	0	0
AT4G08535.2	1414	1215	0	0
AT4G26490.1	1032	833	31	1.74097
AT5G46240.1	3021	2822	1202	19.926
AT5G62260.3	1854	1655	0	0
AT5G62260.1	1839	1640	22	0.627556
AT5G62260.2	1922	1723	0	0
AT4G16955.1	902	703	0	0
AT3G25717.1	570	371	367	46.2771
AT1G45223.1	580	381	0	0
AT5G35715.1	1522	1323	0	0
AT5G41908.1	471	272	0	0
AT2G21390.1	4284	4085	3850	44.0902
AT3G48330.2	788	589	150.622	11.9632
AT3G48330.3	1038	839	43.836	2.44423
AT3G48330.4	871	672	0	0
AT3G48330.1	1024	825	157.542	8.93338
